사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,신용등급,등급_정제,등급_순위
1048163174,(주)세아홀딩스,2015,성숙기,0,88.83,4.9,0.0,51.92,0.0,43.13,2016,A,A,6
1048163174,(주)세아홀딩스,2016,성숙기,0,63.09,6.9,45.61,58.36,0.0,49.93,2017,A,A,6
1048163174,(주)세아홀딩스,2018,성숙기,0,44.2,2.2,77.87,60.92,0.0,52.62,2019,A,A,6
1048163174,(주)세아홀딩스,2019,성숙기,0,60.03,6.8,60.78,51.18,0.0,53.13,2020,A,A,6
1048163174,(주)세아홀딩스,2020,성숙기,0,100.0,8.5,65.49,47.37,33.68,58.1,2021,A,A,6
1048163174,(주)세아홀딩스,2021,성숙기,0,0.0,17.8,71.12,64.24,0.05,32.21,2022,A,A,6
1048163174,(주)세아홀딩스,2022,성장기,0,47.45,0.0,98.02,38.59,0.02,37.53,2023,A,A,6
1048163174,(주)세아홀딩스,2023,성숙기,0,57.98,0.0,98.24,43.2,0.04,45.45,2024,A,A,6
1138106798,(주)세아베스틸지주,2015,성숙기,0,88.83,4.9,0.0,52.32,0.0,43.13,2016,A+,A+,5
1138106798,(주)세아베스틸지주,2016,성숙기,0,63.09,6.9,45.61,60.52,0.0,49.93,2017,A+(안정적),A+,5
1138106798,(주)세아베스틸지주,2018,성숙기,0,44.2,2.2,77.87,63.21,0.0,52.62,2019,A+(안정적),A+,5
1138106798,(주)세아베스틸지주,2019,성숙기,0,60.03,6.8,60.78,53.3,0.14,53.21,2020,A+(안정적),A+,5
1138106798,(주)세아베스틸지주,2020,성숙기,0,100.0,8.5,65.49,51.25,36.06,59.52,2021,A+(안정적),A+,5
1138106798,(주)세아베스틸지주,2021,성숙기,0,0.0,17.8,71.12,65.77,0.03,30.54,2022,A+(부정적),A+,5
1138106798,(주)세아베스틸지주,2022,성장기,0,47.45,0.0,98.02,40.04,0.02,37.54,2023,A+(안정적),A+,5
1138106798,(주)세아베스틸지주,2023,성숙기,0,57.98,0.0,98.24,44.64,0.04,45.45,2024,A+,A+,5
1208128432,현대비앤지스틸(주),2015,성숙기,0,88.83,4.9,0.0,51.33,0.0,43.13,2016,A-,A-,7
1208128432,현대비앤지스틸(주),2016,성숙기,0,63.09,6.9,45.61,57.47,0.0,49.93,2017,A-,A-,7
1208128432,현대비앤지스틸(주),2017,성숙기,0,30.69,7.3,50.99,48.52,0.0,43.69,2018,A-,A-,7
1208128432,현대비앤지스틸(주),2020,성장기,0,100.0,0.0,65.49,41.86,0.0,36.79,2021,A(안정적),A,6
1208128432,현대비앤지스틸(주),2021,성장기,0,0.0,0.0,71.12,60.48,0.03,55.7,2022,A(긍정적),A,6
1208128432,현대비앤지스틸(주),2022,성장기,0,47.45,0.0,98.02,33.79,0.05,37.57,2023,A(안정적),A,6
1208128432,현대비앤지스틸(주),2023,성숙기,0,57.98,0.0,98.24,39.17,31.17,70.14,2024,A(안정적),A,6
1218110385,현대제철(주),2015,성숙기,0,88.83,4.9,0.0,52.76,0.0,43.13,2016,AA 안정적,AA,3
1218110385,현대제철(주),2016,성숙기,0,63.09,6.9,45.61,55.68,0.0,49.93,2017,AA 안정적,AA,3
1218110385,현대제철(주),2018,성숙기,0,44.2,2.2,77.87,57.32,0.0,52.62,2019,AA 안정적,AA,3
1218110385,현대제철(주),2019,성숙기,0,60.03,6.8,60.78,48.9,0.67,53.53,2020,AA 안정적,AA,3
1218110385,현대제철(주),2020,성장기,0,100.0,0.0,65.49,44.88,23.85,51.48,2021,AA 안정적,AA,3
1218110385,현대제철(주),2021,성장기,0,0.0,0.0,71.12,63.33,0.05,39.08,2022,AA 안정적,AA,3
1218110385,현대제철(주),2022,성숙기,0,47.45,10.3,98.02,35.11,0.02,37.53,2023,AA 안정적,AA,3
1218110385,현대제철(주),2023,성숙기,0,57.98,0.0,98.24,40.05,0.04,45.45,2024,AA 안정적,AA,3
1258175323,(주)풍산,2022,성장기,0,47.45,0.0,98.02,34.87,0.02,37.53,2023,A+,A+,5
1258175323,(주)풍산,2023,성숙기,0,57.98,0.0,98.24,39.88,0.04,45.45,2024,A+,A+,5
1348120370,(주)율촌,2022,성숙기,0,47.45,10.3,98.02,38.63,0.02,37.54,2023,B+,B+,14
2028147522,동국산업(주),2015,성숙기,0,88.83,4.9,0.0,52.82,0.0,43.13,2016,BBB+,BBB+,8
2028147522,동국산업(주),2016,성숙기,0,63.09,6.9,45.61,56.38,0.0,49.93,2017,BBB+,BBB+,8
2028147522,동국산업(주),2018,쇠퇴기,0,44.2,100.0,77.87,56.08,0.15,52.71,2019,BBB+,BBB+,8
2028147522,동국산업(주),2019,조정기,0,60.03,34.1,60.78,50.87,0.0,53.03,2020,BBB+,BBB+,8
2028147522,동국산업(주),2020,성숙기,0,100.0,8.5,65.49,49.35,0.0,36.79,2021,BBB+,BBB+,8
2028147522,동국산업(주),2021,쇠퇴기,0,0.0,100.0,71.12,64.68,0.08,55.73,2022,A-,A-,7
2028147522,동국산업(주),2022,도입기,0,47.45,78.1,98.02,36.35,1.66,38.85,2023,BBB+,BBB+,8
2028147522,동국산업(주),2023,성장기,0,57.98,5.6,98.24,41.22,29.18,67.03,2024,A-,A-,7
2118111260,고려아연(주),2023,성장기,0,57.98,5.6,98.24,37.72,0.04,45.45,2024,AA+(Negative),AA+,2
3068101212,(주)알루코,2019,성장기,0,60.03,0.0,60.78,50.6,4.03,55.37,2020,BB+,BB+,11
3068101212,(주)알루코,2020,성장기,0,100.0,0.0,65.49,49.19,28.79,52.65,2021,BB+,BB+,11
3068101212,(주)알루코,2021,도입기,0,0.0,83.0,71.12,60.52,0.44,35.85,2022,BB+,BB+,11
3068101212,(주)알루코,2022,성숙기,0,47.45,10.3,98.02,28.39,0.08,37.38,2023,BB+,BB+,11
3068101212,(주)알루코,2023,성숙기,0,57.98,0.0,98.24,33.89,0.3,45.6,2024,BB+,BB+,11
5068100017,포스코홀딩스(주),2015,성장기,0,88.83,0.0,0.0,51.68,0.5,43.48,2016,AA+(STABLE),AA+,2
5068100017,포스코홀딩스(주),2016,성숙기,0,63.09,6.9,45.61,55.63,0.0,49.57,2017,AA+(STABLE),AA+,2
5068100017,포스코홀딩스(주),2018,성숙기,0,44.2,2.2,77.87,57.69,0.0,52.62,2019,AA+(Positive),AA+,2
5068100017,포스코홀딩스(주),2019,성숙기,0,60.03,6.8,60.78,48.08,0.0,53.13,2020,AA+(STABLE),AA+,2
5068100017,포스코홀딩스(주),2020,성숙기,0,100.0,8.5,65.49,42.19,0.0,36.79,2021,AA+(STABLE),AA+,2
5068100017,포스코홀딩스(주),2021,성숙기,0,0.0,17.8,71.12,61.3,0.03,55.7,2022,AA+(STABLE),AA+,2
5068100017,포스코홀딩스(주),2022,성숙기,0,47.45,10.3,98.02,35.44,0.02,37.54,2023,AA+(STABLE),AA+,2
5138116496,아주스틸(주),2020,성장기,0,100.0,0.0,65.49,45.39,0.0,36.76,2021,BB-,BB-,13
5138116496,아주스틸(주),2021,도입기,0,0.0,83.0,71.12,37.67,0.08,55.73,2022,BB-,BB-,13
5138116496,아주스틸(주),2022,도입기,0,47.45,78.1,98.02,22.05,2.33,39.39,2023,BB-,BB-,13
5688601173,(주)세아제강,2018,성숙기,0,44.2,2.2,77.87,58.01,11.23,52.62,2019,A+,A+,5
5688601173,(주)세아제강,2019,성숙기,0,60.03,6.8,60.78,50.18,0.0,45.86,2020,A+,A+,5
5688601173,(주)세아제강,2020,성숙기,0,100.0,8.5,65.49,43.77,0.0,36.79,2021,A+,A+,5
5688601173,(주)세아제강,2021,성장기,0,0.0,0.0,71.12,53.77,0.03,55.7,2022,A+,A+,5
5688601173,(주)세아제강,2022,성장기,0,47.45,0.0,98.02,24.67,0.02,37.54,2023,A+,A+,5
5688601173,(주)세아제강,2023,성숙기,0,57.98,0.0,98.24,25.58,0.04,45.45,2024,A+,A+,5
6158106111,에스케이오션플랜트(주),2019,도입기,1,60.03,100.0,60.78,43.83,54.33,61.14,2020,BB-,BB-,13
