사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,신용등급,등급_정제,등급_순위
1308102064,(주)부-스타,2019,조정기,0,0.0,33.1,51.56,54.38,0.02,31.91,2020,A-,A-,7
1348102988,(주)케이피에프,2021,성숙기,0,52.6,2.8,61.29,66.76,2.4,30.66,2022,BB+,BB+,11
1348102988,(주)케이피에프,2022,조정기,0,24.16,32.8,95.83,56.05,0.09,25.99,2023,BB+,BB+,11
1348102988,(주)케이피에프,2023,성숙기,0,14.88,0.0,98.09,54.73,0.13,42.2,2024,BB+,BB+,11
2128176626,씨에스윈드(주),2018,도입기,0,18.76,83.8,23.57,43.51,0.02,20.11,2019,BBB-,BBB-,10
2128176626,씨에스윈드(주),2019,도입기,0,0.0,77.1,51.56,38.87,0.05,31.94,2020,BBB-,BBB-,10
2128176626,씨에스윈드(주),2020,성장기,0,100.0,0.0,41.3,36.23,0.03,15.15,2021,BBB-,BBB-,10
2128176626,씨에스윈드(주),2021,성장기,0,52.6,0.0,61.29,55.15,0.01,30.7,2022,BBB-,BBB-,10
2128176626,씨에스윈드(주),2022,성숙기,0,24.16,0.0,95.83,48.87,1.05,28.65,2023,BBB-,BBB-,10
2158635051,엘아이지디펜스앤에어로스페이스(주),2015,성숙기,0,49.15,10.5,0.0,59.83,0.03,31.64,2016,AA-/STABLE,AA-,4
2158635051,엘아이지디펜스앤에어로스페이스(주),2016,도입기,0,27.39,65.5,12.18,67.09,0.01,24.12,2017,AA-/STABLE,AA-,4
2158635051,엘아이지디펜스앤에어로스페이스(주),2018,도입기,0,18.76,83.8,23.57,55.49,0.55,19.38,2019,AA-/STABLE,AA-,4
2158635051,엘아이지디펜스앤에어로스페이스(주),2019,도입기,0,0.0,77.1,51.56,60.73,2.17,33.05,2020,AA-/STABLE,AA-,4
2158635051,엘아이지디펜스앤에어로스페이스(주),2020,성숙기,0,100.0,5.3,41.3,64.86,0.18,13.39,2021,AA-/STABLE,AA-,4
2158635051,엘아이지디펜스앤에어로스페이스(주),2021,성숙기,0,52.6,2.8,61.29,64.18,0.19,30.72,2022,AA-/STABLE,AA-,4
2158635051,엘아이지디펜스앤에어로스페이스(주),2022,성숙기,0,24.16,0.0,95.83,51.93,0.06,27.76,2023,AA-/STABLE,AA-,4
2158635051,엘아이지디펜스앤에어로스페이스(주),2023,성숙기,0,14.88,0.0,98.09,50.64,0.03,42.17,2024,AA-/STABLE,AA-,4
5728700151,에스와이스틸텍(주),2022,성장기,0,24.16,7.8,95.83,55.7,0.23,27.39,2023,B+,B+,14
5728700151,에스와이스틸텍(주),2023,성장기,0,14.88,18.2,98.09,54.39,0.06,42.07,2024,B+,B+,14
