사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,신용등급,등급_정제,등급_순위
1018109147,현대자동차(주),2015,성장기,0,65.1,0.0,51.29,60.02,0.1,47.77,2016,AAA(안정적),AAA,1
1018109147,현대자동차(주),2016,성장기,0,75.31,0.4,100.0,49.73,0.25,35.58,2017,AAA(안정적),AAA,1
1018109147,현대자동차(주),2018,성장기,0,66.1,3.0,32.87,44.23,0.14,46.31,2019,AAA(안정적),AAA,1
1018109147,현대자동차(주),2019,성장기,0,45.04,10.9,60.13,50.97,2.26,48.69,2020,AAA(안정적),AAA,1
1018109147,현대자동차(주),2020,도입기,0,100.0,84.0,0.0,70.61,0.15,50.83,2021,AAA(부정적),AAA,1
1018109147,현대자동차(주),2021,도입기,0,69.97,95.8,33.95,62.55,0.14,34.93,2022,AA+(안정적),AA+,2
1018109147,현대자동차(주),2022,도입기,0,47.05,95.3,67.84,43.89,0.1,47.8,2023,AA+(긍정적),AA+,2
1018109147,현대자동차(주),2023,도입기,0,0.0,100.0,70.31,45.64,0.14,58.11,2024,AA+(안정적),AA+,2
1018116406,현대모비스(주),2020,성숙기,0,100.0,0.0,0.0,70.07,0.01,51.95,2021,AA+ (안정적),AA+,2
1018116406,현대모비스(주),2021,성숙기,0,69.97,0.0,33.95,62.37,0.07,34.98,2022,AA+ (안정적),AA+,2
1018116406,현대모비스(주),2022,성숙기,0,47.05,0.0,67.84,44.08,0.03,47.8,2023,AA+ (안정적),AA+,2
1018116406,현대모비스(주),2023,성숙기,0,0.0,0.0,70.31,45.77,0.02,58.07,2024,AA+ (안정적),AA+,2
1048157667,한화오션(주),2015,도입기,0,65.1,61.9,51.29,64.12,10.75,22.13,2016,AA-,AA-,4
1048157667,한화오션(주),2016,조정기,1,75.31,25.3,100.0,49.43,100.0,95.57,2017,BB,BB,12
1068112972,케이비아이동국실업(주),2017,성장기,0,79.8,2.4,79.1,34.62,7.34,44.3,2018,BB+,BB+,11
1078730882,(주)서진오토모티브,2015,성장기,0,65.1,0.0,51.29,64.79,0.79,47.96,2016,BBB- (안정적),BBB-,10
1078730882,(주)서진오토모티브,2016,성장기,0,75.31,0.4,100.0,49.74,0.79,35.48,2017,BBB-(안정적),BBB-,10
1108142397,한국항공우주산업(주),2015,성장기,0,65.1,0.0,51.29,63.28,0.13,47.75,2016,AA-,AA-,4
1108142397,한국항공우주산업(주),2016,성장기,0,75.31,0.4,100.0,51.3,0.1,35.46,2017,AA-,AA-,4
1108142397,한국항공우주산업(주),2017,성장기,0,79.8,2.4,79.1,41.11,27.18,56.56,2018,AA-,AA-,4
1108142397,한국항공우주산업(주),2018,성장기,0,66.1,3.0,32.87,42.48,0.4,31.76,2019,AA-,AA-,4
1108142397,한국항공우주산업(주),2019,성숙기,0,45.04,0.0,60.13,44.52,0.12,47.36,2020,AA-,AA-,4
1108142397,한국항공우주산업(주),2020,성숙기,0,100.0,0.0,0.0,69.23,0.04,51.92,2021,AA-,AA-,4
1108142397,한국항공우주산업(주),2021,성장기,0,69.97,18.4,33.95,64.11,2.83,36.84,2022,AA-,AA-,4
1108142397,한국항공우주산업(주),2022,성장기,0,47.05,24.4,67.84,40.44,0.84,46.65,2023,AA-,AA-,4
1108142397,한국항공우주산업(주),2023,조정기,0,0.0,26.8,70.31,43.69,0.17,57.68,2024,AA-,AA-,4
1198102316,기아(주),2015,성장기,0,65.1,0.0,51.29,59.05,0.12,47.8,2016,AA+ (안정적),AA+,2
1198102316,기아(주),2016,성장기,0,75.31,0.4,100.0,50.22,0.2,35.53,2017,AA+ (안정적),AA+,2
1198102316,기아(주),2018,성장기,0,66.1,3.0,32.87,44.71,0.89,46.24,2019,AA+ (안정적),AA+,2
1198102316,기아(주),2019,성숙기,0,45.04,0.0,60.13,51.3,0.12,47.09,2020,AA+ (부정적),AA+,2
1198102316,기아(주),2020,성숙기,0,100.0,0.0,0.0,71.13,0.05,51.92,2021,AA+ (부정적),AA+,2
1198102316,기아(주),2021,성숙기,0,69.97,0.0,33.95,62.35,0.16,35.01,2022,AA (안정적),AA,3
1198102316,기아(주),2022,성숙기,0,47.05,0.0,67.84,44.48,0.04,47.75,2023,AA+ (안정적),AA+,2
1198102316,기아(주),2023,성숙기,0,0.0,0.0,70.31,45.97,0.05,58.09,2024,AA+ (안정적),AA+,2
1258625094,에이치엘만도(주),2015,성장기,0,65.1,0.0,51.29,61.53,0.08,47.78,2016,A+/안정적,A+,5
1258625094,에이치엘만도(주),2016,성장기,0,75.31,0.4,100.0,49.57,0.15,35.53,2017,AA-/안정적,AA-,4
1258625094,에이치엘만도(주),2018,성장기,0,66.1,3.0,32.87,63.83,0.18,46.06,2019,AA-/안정적,AA-,4
1258625094,에이치엘만도(주),2019,성장기,0,45.04,10.9,60.13,73.88,0.12,47.48,2020,AA-/안정적,AA-,4
1258625094,에이치엘만도(주),2020,성장기,0,100.0,2.9,0.0,84.4,0.8,52.33,2021,AA-/안정적,AA-,4
1258625094,에이치엘만도(주),2021,성장기,0,69.97,18.4,33.95,78.84,0.32,34.6,2022,AA-/안정적,AA-,4
1258625094,에이치엘만도(주),2022,성장기,0,47.05,24.4,67.84,48.91,0.17,47.73,2023,AA-/안정적,AA-,4
1258625094,에이치엘만도(주),2023,성장기,0,0.0,21.3,70.31,48.35,0.18,58.09,2024,AA-/안정적,AA-,4
1348102523,(주)모베이스전자,2016,성장기,0,75.31,0.4,100.0,48.91,0.45,35.76,2017,BB+,BB+,11
2038151830,한일단조공업(주),2023,성숙기,0,0.0,0.0,70.31,45.96,0.34,57.98,2024,BB,BB,12
2208882958,(주)서연이화,2019,성장기,0,45.04,10.9,60.13,62.03,19.43,44.46,2020,BBB,BBB,9
2208882958,(주)서연이화,2020,성장기,0,100.0,2.9,0.0,76.92,0.11,41.6,2021,BBB/S,BBB,9
2208882958,(주)서연이화,2021,성장기,0,69.97,18.4,33.95,68.58,0.16,34.97,2022,BBB/S,BBB,9
2208882958,(주)서연이화,2022,성숙기,0,47.05,0.0,67.84,45.81,0.05,47.76,2023,BBB/P,BBB,9
2208882958,(주)서연이화,2023,성숙기,0,0.0,0.0,70.31,46.72,0.06,58.09,2024,BBB/S,BBB,9
2528701412,에이치디현대중공업(주),2021,조정기,0,69.97,39.4,33.95,64.11,51.95,67.85,2022,A,A,6
2528701412,에이치디현대중공업(주),2022,성숙기,1,47.05,0.0,67.84,38.63,66.02,53.77,2023,A,A,6
4168602172,우리산업(주),2018,성숙기,0,66.1,0.0,32.87,38.87,0.05,46.29,2019,BB+,BB+,11
4168602172,우리산업(주),2019,성숙기,0,45.04,0.0,60.13,49.16,0.05,47.52,2020,BB+,BB+,11
5058102351,에코플라스틱(주),2017,성장기,0,79.8,2.4,79.1,38.8,12.82,47.22,2018,BBB ,BBB,9
5058120965,(주)화신,2015,성장기,0,65.1,0.0,51.29,56.49,0.7,48.09,2016,A-,A-,7
5058120965,(주)화신,2016,성장기,0,75.31,0.4,100.0,49.72,0.45,35.32,2017,A+,A+,5
5058120965,(주)화신,2018,성장기,0,66.1,3.0,32.87,43.88,39.67,64.18,2019,BBB,BBB,9
5058120965,(주)화신,2019,성숙기,1,45.04,0.0,60.13,49.16,96.28,78.85,2020,BBB,BBB,9
6098101770,현대위아(주),2015,성장기,0,65.1,0.0,51.29,59.73,0.04,47.76,2016,AA-,AA-,4
6098101770,현대위아(주),2016,성장기,0,75.31,0.4,100.0,49.61,0.06,35.49,2017,AA-(안정적),AA-,4
6098101770,현대위아(주),2018,성장기,0,66.1,3.0,32.87,43.72,16.66,52.1,2019,AA(안정적),AA,3
6098101770,현대위아(주),2019,성숙기,0,45.04,0.0,60.13,49.57,24.74,51.94,2020,AA-(안정적),AA-,4
6098101770,현대위아(주),2020,성장기,0,100.0,2.9,0.0,72.82,3.9,40.8,2021,AA-(안정적),AA-,4
6098101770,현대위아(주),2021,성숙기,0,69.97,0.0,33.95,65.14,3.58,34.7,2022,AA-(안정적),AA-,4
6098101770,현대위아(주),2022,조정기,0,47.05,39.8,67.84,46.11,2.76,47.26,2023,AA-(안정적),AA-,4
6098101770,현대위아(주),2023,조정기,0,0.0,26.8,70.31,46.82,0.62,56.79,2024,AA-(안정적),AA-,4
