사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,신용등급,등급_정제,등급_순위
1028142945,(주)케이티,2015,성숙기,0,33.36,0.0,0.0,47.58,0.0,49.16,2016,AAA,AAA,1
1028142945,(주)케이티,2016,성숙기,0,23.62,0.0,64.46,44.41,0.0,41.38,2017,AAA,AAA,1
1028142945,(주)케이티,2018,성숙기,0,29.74,0.0,86.22,50.07,0.0,45.36,2019,AAA,AAA,1
1028142945,(주)케이티,2019,성숙기,0,0.0,0.0,91.73,52.48,0.0,39.47,2020,AAA,AAA,1
1028142945,(주)케이티,2020,성숙기,0,100.0,0.0,72.0,57.35,0.0,53.42,2021,AAA,AAA,1
1028142945,(주)케이티,2021,성숙기,0,21.92,0.0,67.69,47.76,0.0,42.13,2022,AAA,AAA,1
1028142945,(주)케이티,2022,성숙기,0,49.86,0.0,99.69,46.62,0.01,49.84,2023,AAA,AAA,1
1028142945,(주)케이티,2023,성숙기,0,20.16,0.0,99.34,56.3,0.01,50.0,2024,AAA,AAA,1
1048137225,에스케이텔레콤(주),2015,성숙기,0,33.36,0.0,0.0,50.03,5.54,49.62,2016,AAA,AAA,1
1048137225,에스케이텔레콤(주),2016,성숙기,0,23.62,0.0,64.46,45.16,4.26,40.54,2017,AAA,AAA,1
1048137225,에스케이텔레콤(주),2018,성숙기,0,29.74,0.0,86.22,50.48,4.5,45.97,2019,AAA(STABLE),AAA,1
1048137225,에스케이텔레콤(주),2019,성숙기,0,0.0,0.0,91.73,53.42,6.1,40.47,2020,AAA(STABLE),AAA,1
1048137225,에스케이텔레콤(주),2020,성숙기,0,100.0,0.0,72.0,57.4,8.44,54.75,2021,AAA(STABLE),AAA,1
1048137225,에스케이텔레콤(주),2021,성숙기,0,21.92,0.0,67.69,46.79,6.94,41.23,2022,AAA(STABLE),AAA,1
1048137225,에스케이텔레콤(주),2022,성숙기,0,49.86,0.0,99.69,44.71,1.58,47.13,2023,AAA(STABLE),AAA,1
1048137225,에스케이텔레콤(주),2023,성숙기,0,20.16,0.0,99.34,54.95,6.02,52.22,2024,AAA(STABLE),AAA,1
1048145690,씨제이씨지브이(주),2015,성장기,0,33.36,13.8,0.0,47.8,8.43,46.76,2016,AA-(안정적),AA-,4
1048145690,씨제이씨지브이(주),2016,성장기,0,23.62,14.8,64.46,45.0,13.08,44.3,2017,AA-(부정적),AA-,4
1048145690,씨제이씨지브이(주),2018,성장기,0,29.74,13.5,86.22,50.56,13.49,46.38,2019,A+(안정적),A+,5
1048145690,씨제이씨지브이(주),2019,성장기,0,0.0,15.3,91.73,54.87,15.45,40.7,2020,A+ (부정적),A+,5
1048145690,씨제이씨지브이(주),2020,도입기,0,100.0,96.1,72.0,59.25,88.46,94.72,2021,A+(부정적),A+,5
1048145690,씨제이씨지브이(주),2021,도입기,1,21.92,93.2,67.69,61.3,74.28,33.66,2022,A+(하향검토),A+,5
1048153190,현대오토에버(주),2020,성숙기,0,100.0,0.0,72.0,58.09,1.03,53.37,2021,AA-,AA-,4
1048153190,현대오토에버(주),2021,성숙기,0,21.92,0.0,67.69,49.19,0.84,42.01,2022,AA-,AA-,4
1048153190,현대오토에버(주),2022,성숙기,0,49.86,0.0,99.69,49.44,0.62,49.72,2023,AA-,AA-,4
1048153190,현대오토에버(주),2023,성숙기,0,20.16,0.0,99.34,58.37,0.94,50.16,2024,AA-,AA-,4
1058764746,넷마블(주),2019,성숙기,0,0.0,0.0,91.73,74.23,18.31,42.42,2020,AA-(안정적),AA-,4
1058764746,넷마블(주),2020,성숙기,0,100.0,0.0,72.0,73.52,31.71,61.01,2021,AA-,AA-,4
1058764746,넷마블(주),2021,성장기,0,21.92,12.4,67.69,66.86,32.31,42.49,2022,AA-,AA-,4
1058764746,넷마블(주),2022,성장기,0,49.86,17.4,99.69,48.83,62.32,64.97,2023,A+,A+,5
1058764746,넷마블(주),2023,쇠퇴기,0,20.16,78.9,99.34,57.73,39.33,38.51,2024,A+,A+,5
1068151510,(주)씨제이이엔엠,2015,성숙기,0,33.36,0.0,0.0,48.23,14.89,45.63,2016,AA-,AA-,4
1068151510,(주)씨제이이엔엠,2016,성숙기,0,23.62,0.0,64.46,41.08,16.59,42.4,2017,AA-,AA-,4
1068151510,(주)씨제이이엔엠,2018,성숙기,0,29.74,0.0,86.22,46.51,11.72,44.52,2019,AA-,AA-,4
1068151510,(주)씨제이이엔엠,2019,성숙기,0,0.0,0.0,91.73,43.04,14.64,41.29,2020,AA-,AA-,4
1068151510,(주)씨제이이엔엠,2020,성숙기,0,100.0,0.0,72.0,55.22,12.35,52.13,2021,AA-,AA-,4
1068151510,(주)씨제이이엔엠,2021,성장기,0,21.92,12.4,67.69,49.22,10.56,41.06,2022,AA-,AA-,4
1068151510,(주)씨제이이엔엠,2022,성장기,0,49.86,17.4,99.69,46.43,5.2,47.13,2023,AA-,AA-,4
1068151510,(주)씨제이이엔엠,2023,성장기,0,20.16,23.6,99.34,56.27,25.73,60.26,2024,AA-,AA-,4
1108128774,삼성에스디에스(주),2018,성숙기,0,29.74,0.0,86.22,48.19,0.0,45.35,2019,AA+,AA+,2
1108128774,삼성에스디에스(주),2019,성숙기,0,0.0,0.0,91.73,51.44,0.02,39.49,2020,AA+,AA+,2
1108128774,삼성에스디에스(주),2020,성숙기,0,100.0,0.0,72.0,57.83,0.0,53.41,2021,AA+,AA+,2
1168119477,(주)엘지씨엔에스,2023,성숙기,0,20.16,0.0,99.34,57.34,0.74,50.1,2024,AA-,AA-,4
1178113423,(주)엘지헬로비전,2015,성장기,0,33.36,13.8,0.0,43.31,39.38,40.71,2016,AA-,AA-,4
1178113423,(주)엘지헬로비전,2016,성숙기,0,23.62,0.0,64.46,39.91,44.58,44.53,2017,AA-,AA-,4
1178113423,(주)엘지헬로비전,2018,성숙기,0,29.74,0.0,86.22,44.84,39.77,47.35,2019,A+,A+,5
1178113423,(주)엘지헬로비전,2019,성숙기,0,0.0,0.0,91.73,48.96,53.09,47.76,2020,A+,A+,5
1178113423,(주)엘지헬로비전,2020,성숙기,0,100.0,0.0,72.0,58.22,66.5,61.05,2021,A+,A+,5
1178113423,(주)엘지헬로비전,2021,성숙기,0,21.92,0.0,67.69,49.24,48.53,31.4,2022,A+,A+,5
1178113423,(주)엘지헬로비전,2022,성숙기,0,49.86,0.0,99.69,46.89,29.26,40.13,2023,A+,A+,5
1178131120,(주)케이티스카이라이프,2015,성숙기,0,33.36,0.0,0.0,46.99,17.4,50.61,2016,AA-,AA-,4
1178131120,(주)케이티스카이라이프,2016,성숙기,0,23.62,0.0,64.46,43.96,8.38,35.59,2017,AA-,AA-,4
1178131120,(주)케이티스카이라이프,2018,성숙기,0,29.74,0.0,86.22,49.09,14.65,45.88,2019,AA-,AA-,4
1178131120,(주)케이티스카이라이프,2019,성숙기,0,0.0,0.0,91.73,52.28,23.07,44.7,2020,AA-,AA-,4
1178131120,(주)케이티스카이라이프,2020,성숙기,0,100.0,0.0,72.0,58.14,13.19,47.85,2021,AA-,AA-,4
1178131120,(주)케이티스카이라이프,2021,성숙기,0,21.92,0.0,67.69,48.29,22.55,47.71,2022,AA-,AA-,4
1178131120,(주)케이티스카이라이프,2022,성숙기,0,49.86,0.0,99.69,47.16,11.17,44.1,2023,AA-,AA-,4
1178131120,(주)케이티스카이라이프,2023,성숙기,0,20.16,0.0,99.34,56.81,26.54,57.68,2024,AA-,AA-,4
1248603350,(주)케이씨티,2018,성숙기,0,29.74,0.0,86.22,49.18,35.09,40.84,2019,A-,A-,7
1388162479,(주)펄어비스,2020,성숙기,0,100.0,0.0,72.0,58.2,11.08,49.42,2021,A-,A-,7
1388162479,(주)펄어비스,2021,성숙기,0,21.92,0.0,67.69,54.62,21.06,48.08,2022,A-,A-,7
1388162479,(주)펄어비스,2022,성숙기,0,49.86,0.0,99.69,44.78,4.38,41.43,2023,A-,A-,7
1388162479,(주)펄어비스,2023,조정기,0,20.16,22.1,99.34,54.95,3.92,49.77,2024,A-,A-,7
