사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,신용등급,등급_정제,등급_순위
2038143553,(주)파라다이스,2015,성장기,0,44.21,18.0,0.0,51.4,18.85,63.48,2016,AA-/ 안정적,AA-,4
2038143553,(주)파라다이스,2016,성장기,0,36.53,21.6,29.42,33.1,2.5,38.67,2017,AA-,AA-,4
2038143553,(주)파라다이스,2018,성장기,0,40.53,23.8,25.98,62.55,38.62,32.71,2019,A+/ 안정적,A+,5
2038143553,(주)파라다이스,2019,성장기,1,35.6,23.2,34.22,61.16,25.35,40.05,2020,AA-/ 안정적,AA-,4
3078106054,코웨이(주),2015,성숙기,0,44.21,0.0,0.0,54.67,0.35,52.44,2016,A+,A+,5
3078106054,코웨이(주),2016,성숙기,0,36.53,0.0,29.42,39.32,10.45,55.36,2017,A+,A+,5
3078106054,코웨이(주),2017,성숙기,0,44.03,0.0,29.75,71.19,13.84,49.53,2018,A+,A+,5
3078106054,코웨이(주),2020,성숙기,0,100.0,0.0,48.55,61.18,2.18,45.61,2021,AA-,AA-,4
3078106054,코웨이(주),2021,성숙기,0,32.56,0.0,100.0,33.51,1.3,49.53,2022,AA-,AA-,4
3078106054,코웨이(주),2022,성숙기,0,0.0,0.0,90.36,49.13,1.04,50.57,2023,AA-,AA-,4
3078106054,코웨이(주),2023,성숙기,0,63.54,0.0,93.33,38.32,0.59,44.0,2024,AA-,AA-,4
