사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,최종합산스코어,등급_5단계,신용등급,base_value,threshold,pred_prob,pred_label,Top1_Feature,Top1_Value,Top1_SHAP_Value,Top2_Feature,Top2_Value,Top2_SHAP_Value,Top3_Feature,Top3_Value,Top3_SHAP_Value,Top4_Feature,Top4_Value,Top4_SHAP_Value,Top5_Feature,Top5_Value,Top5_SHAP_Value,Top6_Feature,Top6_Value,Top6_SHAP_Value,Top7_Feature,Top7_Value,Top7_SHAP_Value,Top8_Feature,Top8_Value,Top8_SHAP_Value,Top9_Feature,Top9_Value,Top9_SHAP_Value,Top10_Feature,Top10_Value,Top10_SHAP_Value
1028141868,스미토모싸이크로코리아(주),2022,성숙기,0,44.25,0.0,54.23,38.13,0.8,47.55,2023,16.2,매우 안정,,0.499195116275433,0.48,0.02322882681312101,0,총자본영업이익률,1.076262918864049,-0.08854265310527736,영업이익률_ratio,0.9486864456993768,-0.07856432881690718,매출액순이익률_ratio_industry,0.7947528956442429,-0.061713200048244245,금융비용부담률_ratio,-0.0011491569571114371,-0.057756798263036487,영업CF_총부채,0.750604787815562,-0.04760001156129701,영업CF_유동부채,0.6120997595904623,-0.04072651894133669,자본잠식률,0.8327054996745653,-0.015371333635965198,순운전자본비율,1.1779480394202235,-0.012036038209650088,감가상각비율_diff,0.013365267778459228,-0.01193142965591621,매출원가율,0.43909471522647103,-0.011752754931112205
1028141868,스미토모싸이크로코리아(주),2023,성숙기,0,24.44,0.0,55.25,51.52,0.65,48.77,2024,17.3,매우 안정,,0.499195116275433,0.48,0.021983700367105757,0,총자본영업이익률,1.1689735235611802,-0.08850409304565517,영업이익률_ratio,0.9713712934372453,-0.08003735080435191,매출액순이익률_ratio_industry,0.8070051099055435,-0.06199548835978499,금융비용부담률_ratio,-0.0011491569571114371,-0.05740217578017128,영업CF_총부채,1.0992655666058158,-0.04605176988228043,영업CF_유동부채,0.8027247110013248,-0.0395818130935064,자본잠식률,0.8243234307381723,-0.015793746781275257,감가상각비율_diff,0.007171168036952502,-0.011993088090293584,순운전자본비율,1.180504097412833,-0.011918702738585554,매출원가율,0.4300171004914909,-0.011619184119719258
1028141868,스미토모싸이크로코리아(주),2024,조정기,0,53.17,27.2,58.94,40.87,1.02,50.47,2025,19.2,매우 안정,,0.499195116275433,0.48,0.025225515617014558,0,총자본영업이익률,1.0521142967472232,-0.09011485242936493,영업이익률_ratio,0.9775773204504338,-0.07976976401487032,매출액순이익률_ratio_industry,0.7971139235588828,-0.06114882839577828,금융비용부담률_ratio,-0.0011491569571114371,-0.06067284727292826,영업CF_총부채,1.330690060887139,-0.04712158365731944,영업CF_유동부채,0.9073644815873849,-0.0406457431017017,자본잠식률,0.842874010277532,-0.015390924455889137,감가상각비율_diff,-0.00480528423470758,-0.013257644625537163,순운전자본비율,1.166556826970802,-0.012386743160134155,매출원가율,0.4360044050436487,-0.012316188836645692
1028800167,영일엔지니어링(주),2022,쇠퇴기,0,44.25,100.0,54.23,39.52,19.37,49.8,2023,32.7,안정,,0.499195116275433,0.48,0.1826642371130933,0,총자본영업이익률,0.9297113058069869,-0.1316776932379804,영업이익률_ratio,0.910613876631808,-0.10584609412654626,매출액순이익률_ratio_industry,0.7519151602377357,-0.0660425116327579,금융비용부담률_ratio,0.1527549219692516,0.04187548748703737,자본잠식률,0.9089595412640674,-0.024823928955068082,영업CF_총부채,0.16705514556648776,0.021131981986080836,영업CF_유동부채,0.22997720090608254,0.017797605146085863,감가상각비율_diff,0.03042555431536599,-0.014805172450262234,순운전자본비율,0.6245468786363932,-0.014113577440107416,비유동장기적합률,0.13444607194670366,-0.010947945944806721
1028800167,영일엔지니어링(주),2023,쇠퇴기,0,24.44,100.0,55.25,52.47,8.54,42.79,2024,26.9,안정,,0.499195116275433,0.48,0.09128296476305857,0,총자본영업이익률,0.9295923532604493,-0.10057972077244852,영업이익률_ratio,0.9118861779668702,-0.09003465652672103,매출액순이익률_ratio_industry,0.7544466670305021,-0.0712791420276142,영업CF_총부채,0.40267996891035196,-0.05230530488638113,영업CF_유동부채,0.4205733879260585,-0.04740083788178788,금융비용부담률_ratio,0.10812344033199178,0.029733641385341902,자본잠식률,0.8922316351927535,-0.01832764462037468,매출채권회전율_diff_industry,0.011171244777154032,0.012664722838954997,감가상각비율_diff,0.019499521282906662,-0.011728741954772194,순운전자본비율,0.6290251784155066,-0.01063223868422371
1028800167,영일엔지니어링(주),2024,도입기,0,53.17,92.8,58.94,41.76,32.08,63.22,2025,41.9,중립,,0.499195116275433,0.48,0.296140301306714,0,영업이익률_ratio,0.9241797221754567,-0.11460340495981307,매출액순이익률_ratio_industry,0.7531470397654393,-0.06715752720631105,금융비용부담률_ratio,0.14698130703232726,0.048211500910867185,자본잠식률,0.8901085174277097,-0.02611866563320554,영업CF_총부채,0.18480373793951219,0.023011971901139423,영업CF_유동부채,0.24541761898805298,0.021104398042990757,감가상각비율_diff,0.023702825120504742,-0.016680125408244637,순운전자본비율,0.638108019254223,-0.016646169430967663,총자본영업이익률,0.9216662964344896,-0.016240865613887073,비유동장기적합률,0.13418636885056445,-0.01283881730934095
1048134422,계양전기(주),2022,도입기,0,44.25,70.4,54.23,36.26,64.49,56.35,2023,58.1,중립,,0.499195116275433,0.48,0.5704118076113405,1,영업이익률_ratio,0.8880895082183847,0.08649965501241257,금융비용부담률_ratio,0.020577059603980718,-0.08610908528009167,총자본영업이익률,0.7710022067593123,0.07694965078477,매출액순이익률_ratio_industry,0.7231040004172009,0.06136058016871243,자본잠식률,0.957536289452734,-0.02394171459927926,영업CF_유동부채,0.2940110785631874,0.022428210728620657,영업CF_총부채,0.23609824234753207,0.020914080568126367,순운전자본비율,0.7038241713053901,-0.02033422943192847,비유동장기적합률,0.08580643397708898,-0.01858207284058381,당좌비율_추정_diff,0.07437798915165875,-0.014600056633145293
1048134422,계양전기(주),2023,도입기,0,24.44,81.1,55.25,49.83,54.11,43.61,2024,52.9,중립,,0.499195116275433,0.48,0.4912923722769052,1,금융비용부담률_ratio,0.017759037454686905,-0.08949102706707378,영업이익률_ratio,0.8940549622413551,0.07632187344934703,총자본영업이익률,0.8293563669310757,0.07281031665731912,매출액순이익률_ratio_industry,0.7454078353283942,0.047849048691569925,자본잠식률,0.954647562097253,-0.023587538694686307,감가상각비율_diff,0.01779278393218235,-0.022974849006690525,비유동장기적합률,0.09826752346155831,-0.022180474326799867,순운전자본비율,0.7075790944272831,-0.02154297007689119,영업CF_유동부채,0.33355557081933807,0.018023905131415753,당좌비율_추정_diff,0.0774281157459942,-0.01784746718413422
1048134422,계양전기(주),2024,도입기,1,53.17,92.8,58.94,39.9,68.75,58.15,2025,63.3,위험,,0.499195116275433,0.48,0.6159043492526673,1,영업이익률_ratio,0.8711220815633266,0.08867444697613795,금융비용부담률_ratio,0.021117520852320774,-0.08246674993941458,총자본영업이익률,0.6763027027649509,0.07610362669551718,매출액순이익률_ratio_industry,0.6770113109976746,0.07183659466091946,감가상각비율_diff,0.013426747842760281,-0.02383993918512417,영업CF_총부채,0.14025250027487896,0.019326033507872764,영업CF_유동부채,0.2368853960840399,0.018969450828921885,비유동장기적합률,0.12733448196972352,-0.01674764299099637,순운전자본비율,0.6169333879037909,-0.013542689889410568,당좌비율_추정_diff,0.0643533024581033,-0.012601923748859363
1048171655,(주)고영테크놀러지,2022,성숙기,0,44.25,0.0,54.23,42.16,1.06,47.38,2023,17.0,매우 안정,,0.499195116275433,0.48,0.025356688724546026,0,총자본영업이익률,1.1807241542075584,-0.09372810268115182,영업이익률_ratio,0.9554362075187224,-0.07973453150770356,매출액순이익률_ratio_industry,0.796494155560909,-0.06300995938433437,금융비용부담률_ratio,0.013411260178794087,-0.05716987228510169,영업CF_총부채,0.45632074110208853,-0.04796368413484365,영업CF_유동부채,0.48712847400568293,-0.03957545677271466,자본잠식률,0.8459095981239835,-0.015034687711962235,매출원가율,0.0845191250181484,-0.012946679476895793,비유동장기적합률,0.03584770362843481,-0.011884767862874264,순운전자본비율,0.9985915545577567,-0.011734440553688328
