사업자등록번호,회사명_x,연도,생애주기_최종,부실라벨_ICR3년,생애주기점수,Porter5F,산업충격민감도,기업충격민감도,부실확률,부실확률변화,최종합산스코어,등급_5단계,회사명_y,회계년도,base_value,threshold,pred_prob,pred_label,Top1_Feature,Top1_Value,Top1_SHAP_Value,Top2_Feature,Top2_Value,Top2_SHAP_Value,Top3_Feature,Top3_Value,Top3_SHAP_Value,Top4_Feature,Top4_Value,Top4_SHAP_Value,Top5_Feature,Top5_Value,Top5_SHAP_Value,Top6_Feature,Top6_Value,Top6_SHAP_Value,Top7_Feature,Top7_Value,Top7_SHAP_Value,Top8_Feature,Top8_Value,Top8_SHAP_Value,Top9_Feature,Top9_Value,Top9_SHAP_Value,Top10_Feature,Top10_Value,Top10_SHAP_Value
1018189006,(주)한일관,2022,조정기,0,33.8,6.24,90.96,50.5,1.7,47.03,22.0,매우 안정,(주)한일관,2022,0.23730925,0.04,0.016205525,0,총자본영업이익률_ratio,1.1743559945130102,-2.7617247104644775,순운전자본대총자본_ratio_industry,0.26284715847984197,-1.165002703666687,ROIC_ratio,1.1254312947134477,0.3550613820552826,종업원,177.0,-0.31987428665161133,차입금의존도_ratio,0.18142581977864328,-0.24649778008460999,EBITDA마진_ratio,0.9761648870972076,-0.20533369481563568,,,,,,,,,,,,
1018189006,(주)한일관,2023,성숙기,0,0.0,0.0,93.02,67.36,65.65,79.33,52.7,위험,(주)한일관,2023,0.23730925,0.04,0.60637057,1,총자본영업이익률_ratio,0.9167477773557487,0.7316176891326904,순운전자본대총자본_ratio_industry,0.39522554475877636,-0.37211939692497253,종업원,177.0,-0.3260209858417511,EBITDA마진_ratio,0.9747539411971012,0.24975688755512238,ROIC_ratio,0.863813963013951,-0.20624181628227234,차입금의존도_ratio,0.2309087503125449,0.11777949333190918,,,,,,,,,,,,
1018189006,(주)한일관,2024,성숙기,0,0.0,11.1,88.96,59.74,41.32,19.82,36.2,안정,(주)한일관,2024,0.23730925,0.04,0.4034479,1,총자본영업이익률_ratio,0.8942979612560339,0.9432903528213501,ROIC_ratio,0.8449041378234518,-0.7339709997177124,종업원,177.0,-0.45717281103134155,차입금의존도_ratio,0.40819528627781565,-0.3300003111362457,순운전자본대총자본_ratio_industry,0.4114167084310995,-0.19488465785980225,EBITDA마진_ratio,0.9741794746236806,0.14430993795394897,,,,,,,,,,,,
1018662400,(주)푸르웰,2022,성숙기,0,0.0,6.24,90.96,47.52,2.32,49.07,15.5,매우 안정,(주)푸르웰,2022,0.23730925,0.04,0.021716826,0,총자본영업이익률_ratio,1.1212617554189697,-2.6952311992645264,차입금의존도_ratio,0.06590597359150376,-1.1819343566894531,순운전자본대총자본_ratio_industry,0.3599023657288803,-0.8156660795211792,ROIC_ratio,1.0671294211399558,0.3765321373939514,EBITDA마진_ratio,0.9784921231246761,0.3218373656272888,종업원,154.0,-0.05055764317512512,,,,,,,,,,,,
1018662400,(주)푸르웰,2023,성숙기,0,0.0,0.0,93.02,66.77,1.05,40.86,15.3,매우 안정,(주)푸르웰,2023,0.23730925,0.04,0.010689042,0,총자본영업이익률_ratio,0.990811593741815,-2.578237771987915,차입금의존도_ratio,0.07986727581575384,-1.0528500080108643,순운전자본대총자본_ratio_industry,0.35350704139877487,-0.9443933963775635,EBITDA마진_ratio,0.9777493196355048,-0.49050724506378174,ROIC_ratio,0.9709927434860256,0.3595503568649292,종업원,154.0,-0.05866175889968872,,,,,,,,,,,,
1018662400,(주)푸르웰,2024,성숙기,0,0.0,11.1,88.96,57.96,1.7,36.64,15.1,매우 안정,(주)푸르웰,2024,0.23730925,0.04,0.01813672,0,총자본영업이익률_ratio,0.9791253411998707,-2.8946189880371094,순운전자본대총자본_ratio_industry,0.3299647405878495,-0.6941552758216858,차입금의존도_ratio,0.1469622184944396,-0.6439136266708374,ROIC_ratio,0.9377197540324759,0.46537020802497864,EBITDA마진_ratio,0.9769700256302613,-0.4276887774467468,종업원,154.0,-0.03381470590829849,,,,,,,,,,,,
1018676277,주식회사비케이알,2022,성숙기,0,0.0,6.24,90.96,45.5,0.53,47.99,14.4,매우 안정,주식회사비케이알,2022,0.23730925,0.04,0.0057163695,0,총자본영업이익률_ratio,0.9781099124503757,-2.8074209690093994,종업원,8480.0,-1.2698298692703247,차입금의존도_ratio,0.09148567030476762,-0.7119901180267334,순운전자본대총자본_ratio_industry,0.5375977790160957,-0.6071651577949524,ROIC_ratio,0.9169974596046335,0.5624216794967651,EBITDA마진_ratio,0.9775292735006612,-0.5620118379592896,,,,,,,,,,,,
1018676277,주식회사비케이알,2023,성숙기,0,0.0,0.0,93.02,62.6,2.31,42.63,15.8,매우 안정,주식회사비케이알,2023,0.23730925,0.04,0.022344023,0,총자본영업이익률_ratio,0.9583758538905983,-1.7401297092437744,종업원,8480.0,-1.5153660774230957,ROIC_ratio,0.9115094885861208,0.6792179942131042,EBITDA마진_ratio,0.9776088403913202,-0.6501520276069641,차입금의존도_ratio,0.1057894648445654,-0.5706536173820496,순운전자본대총자본_ratio_industry,0.47642486648063054,-0.21882539987564087,,,,,,,,,,,,
1018676277,주식회사비케이알,2024,성숙기,0,0.0,11.1,88.96,54.6,0.74,34.97,14.3,매우 안정,주식회사비케이알,2024,0.23730925,0.04,0.008761036,0,총자본영업이익률_ratio,0.9667627285288068,-2.8729052543640137,종업원,8480.0,-1.3696030378341675,EBITDA마진_ratio,0.977745335310864,-0.6412090063095093,ROIC_ratio,0.9196862422206533,0.4502876400947571,순운전자본대총자본_ratio_industry,0.4733634401856672,-0.4437697231769562,차입금의존도_ratio,0.24837898304843578,-0.08874965459108353,,,,,,,,,,,,
1028144550,주식회사에스지빌라앤호텔,2022,성숙기,0,0.0,6.24,90.96,42.82,67.96,82.81,53.1,위험,주식회사에스지빌라앤호텔,2022,0.23730925,0.04,0.6069268,1,총자본영업이익률_ratio,0.9344488217402939,0.654500424861908,순운전자본대총자본_ratio_industry,0.4458239266459035,-0.17404581606388092,차입금의존도_ratio,0.35241904974461974,-0.12281295657157898,ROIC_ratio,0.8914692442796379,-0.10967566072940826,종업원,5.0,-0.09444253146648407,EBITDA마진_ratio,0.9830820715758362,0.043579161167144775,,,,,,,,,,,,
