사업자등록번호,회사명,연도,생애주기_최종,부실라벨_ICR3년,Porter5F,생애주기점수,산업충격민감도,기업충격민감도,부실확률,부실확률변화,연도_신용등급,최종합산스코어,등급_5단계,신용등급,base_value,threshold,pred_prob,pred_label,Top1_Feature,Top1_Value,Top1_SHAP_Value,Top2_Feature,Top2_Value,Top2_SHAP_Value,Top3_Feature,Top3_Value,Top3_SHAP_Value,Top4_Feature,Top4_Value,Top4_SHAP_Value,Top5_Feature,Top5_Value,Top5_SHAP_Value,Top6_Feature,Top6_Value,Top6_SHAP_Value,Top7_Feature,Top7_Value,Top7_SHAP_Value,Top8_Feature,Top8_Value,Top8_SHAP_Value,Top9_Feature,Top9_Value,Top9_SHAP_Value,Top10_Feature,Top10_Value,Top10_SHAP_Value
1018626646,주식회사현진시닝,2022,성장기,0,0.0,26.1,90.36,49.23,10.13,30.85,2023,23.8,매우 안정,,0.49935927543906,0.39,0.11866256786204422,0,총자본영업이익률,0.9052040553902859,-0.051849406889567906,유보율,0.2824486049756489,-0.04820674835351073,영업CF_유동부채,0.2092726272794584,-0.047570197869152946,영업CF_총부채,0.6036028034242868,-0.047138143275166036,금융비용부담률,-4.2724958553251645e-05,-0.04143456785684998,ROIC,0.9188050990227494,-0.03557892223867769,자기자본증가율,0.4688080247848026,-0.03507421991736658,영업이익률_diff,0.9584631423799389,0.03402491185187239,비유동비율,0.00032389905733385804,-0.015022527203459327,순운전자본회전율_ratio,0.3041788942606048,-0.01266279978364145
1018626646,주식회사현진시닝,2023,조정기,0,63.54,32.1,93.33,38.63,34.27,61.33,2024,43.6,안정,,0.49935927543906,0.39,0.30879521425762557,0,금융비용부담률,3.9040948519265985e-05,-0.07997422417714797,유보율,0.2827026379695407,-0.05760283839723977,영업CF_총부채,0.4027322779331148,0.04191460655659465,영업CF_유동부채,0.19597035686658607,0.03983455327157849,비유동장기적합률,0.015182550679726178,-0.026295588323795048,비유동비율,0.00037622317662437763,-0.02546792670629115,자기자본증가율,0.4657961237532585,-0.023126303818384628,총자본영업이익률,0.8953361075898904,0.022047426049989292,차입금의존도_diff,0.023684027018474413,-0.02178081592533561,순운전자본회전율_ratio,0.15454917283388422,-0.019302304509237554
1018626646,주식회사현진시닝,2024,성숙기,0,35.71,0.0,98.58,35.99,11.65,25.14,2025,24.0,매우 안정,,0.49935927543906,0.39,0.12513963568231581,0,총자본영업이익률,0.9426244140107596,-0.06066899205191047,영업CF_유동부채,0.2147282899645032,-0.049100243112661264,유보율,0.2833810215327746,-0.04895886245759339,영업CF_총부채,0.6865196345934189,-0.04867235425753768,금융비용부담률,4.630169529538312e-05,-0.04070250620397812,ROIC,0.9353143622334894,-0.03653720439280726,영업이익률_diff,0.9568237972126108,0.03522905523668433,자기자본증가율,0.4689685241561318,-0.033990977779519205,비유동비율,0.0002854273334451827,-0.015108040765459593,현금ROA,0.672083631702571,-0.014916498451270877
1018649300,더케이예다함(주),2022,성숙기,0,0.0,0.0,90.36,50.09,37.18,49.29,2023,38.1,안정,,0.49935927543906,0.39,0.32719845234244843,0,영업CF_유동부채,0.45233235476669864,-0.06695136911359881,영업CF_총부채,0.5639182715489638,-0.05453889727144888,총자본영업이익률,0.84973347577334,0.046110804214374475,금융비용부담률,-0.00011321320169665886,-0.041981498549258804,유보율,0.2635290214436899,-0.03817053392510558,자기자본증가율,0.4720953792613812,-0.03504517836647239,영업이익률_diff,0.9443660973966367,0.03219991293570243,ROIC,0.7800485822777399,0.019100841859437653,매입채무지급기간,1.1572278682014776,0.017254683144024233,순운전자본회전율_ratio,0.02211140420917734,-0.011821795897146298
1018649300,더케이예다함(주),2023,성숙기,0,63.54,0.0,93.33,39.71,40.45,47.55,2024,43.9,안정,,0.49935927543906,0.39,0.3583311040192032,0,영업CF_유동부채,0.4031132492107897,-0.06560950525771561,영업CF_총부채,0.54568733784477,-0.05099986032448054,총자본영업이익률,0.8569700599574117,0.04689674368359206,금융비용부담률,-0.00011321320169665886,-0.04208779415671559,유보율,0.2637751447739083,-0.03942241377782917,ROIC,0.8303593519941984,0.03524965810749929,영업이익률_diff,0.9523350171203385,0.03382000087120426,자기자본증가율,0.5035822926032033,-0.03187747395226803,매입채무지급기간,1.1572278682014776,0.01869182931686379,비유동장기적합률,0.019009711582256814,-0.011396888796690298
1018649300,더케이예다함(주),2024,성숙기,0,35.71,0.0,98.58,37.14,38.37,41.07,2025,39.2,안정,,0.49935927543906,0.39,0.3275455534608912,0,영업CF_유동부채,0.4619121800313289,-0.06403564895870681,영업CF_총부채,0.5476129860905743,-0.05409342363040041,총자본영업이익률,0.8452666445198785,0.045034432975935575,금융비용부담률,-0.00011321320169665886,-0.04261156467951969,유보율,0.2640973914001372,-0.0380581392571884,자기자본증가율,0.48426055760383857,-0.032893763608618606,영업이익률_diff,0.9376700572154616,0.032445641623204666,ROIC,0.8093064436600292,0.03242695982022035,매입채무지급기간,1.1572278682014776,0.016164806145346586,비유동장기적합률,0.0172596006103854,-0.012173953743404992
1018653110,유진레저주식회사,2022,성숙기,0,0.0,0.0,90.36,47.33,1.45,51.25,2023,19.8,매우 안정,,0.49935927543906,0.39,0.05183715959593631,0,총자본영업이익률,1.1419557769162125,-0.06534673517260248,영업CF_총부채,0.6817771107945614,-0.06033604137482962,영업CF_유동부채,0.22381786671936504,-0.053533190670845485,유보율,0.30331078523722016,-0.04822943570964131,ROIC,0.9731347214596343,-0.04195331874185737,자기자본증가율,0.4753679858148522,-0.041783137081981114,영업이익률_diff,0.9876186086052328,-0.03607789941887101,현금ROA,0.7598801806168787,-0.01592201686941766,순운전자본회전율_ratio,0.5612063138659277,-0.009332658136223013,현금ROE,0.28459953804851806,-0.009328127241483923
1018653110,유진레저주식회사,2023,성숙기,0,63.54,0.0,93.33,36.11,3.23,45.56,2024,24.4,매우 안정,,0.49935927543906,0.39,0.05988184657602091,0,총자본영업이익률,1.1388103006636474,-0.06699944386314863,영업CF_총부채,0.6757639210341416,-0.065001047722605,영업CF_유동부채,0.2240250225933973,-0.06158002078140834,유보율,0.3080822847265964,-0.05142072055383337,자기자본증가율,0.4824366297290068,-0.04336056683218001,ROIC,0.9832948309979358,-0.042282938746230944,영업이익률_diff,0.9904909192485256,-0.03713216438940762,순운전자본회전율_ratio,-1.651636252713298e-07,0.023793692002050823,현금ROA,0.7481023136063838,-0.01899566119593583,현금ROE,0.27977047740074384,-0.010196360249142744
1018653110,유진레저주식회사,2024,성숙기,0,35.71,0.0,98.58,33.36,2.36,43.75,2025,20.7,매우 안정,,0.49935927543906,0.39,0.05482644899399498,0,총자본영업이익률,1.093779523783125,-0.06273235907523889,영업CF_총부채,0.6601814184008132,-0.061230142125689134,영업CF_유동부채,0.2213582569243243,-0.05394407272599283,유보율,0.3119975403087748,-0.0487014594695912,ROIC,0.9630855638562169,-0.0407845665539052,자기자본증가율,0.47758515059441126,-0.039260381330469114,영업이익률_diff,0.9790435150671303,-0.03439540103665172,현금ROA,0.7289823033434316,-0.015836650782521368,현금ROE,0.2742506227577691,-0.009231834335115114,비유동비율,0.003937361114693502,-0.008821772710255013
1028125209,천룡종합개발(주),2022,성숙기,0,0.0,0.0,90.36,48.9,20.96,51.35,2023,29.9,매우 안정,,0.49935927543906,0.39,0.20217385925716977,0,영업CF_총부채,0.5656740832943884,-0.06378358171311391,영업CF_유동부채,0.262892372864779,-0.05757028090459899,총자본영업이익률,1.1014318998376114,-0.053673277551545745,자기자본증가율,0.5082568409476221,-0.052446044489002336,금융비용부담률,0.0014824308022861835,-0.042785963067963055,유보율,0.23532187618550224,0.04043961177533791,영업이익률_diff,0.9797853811509182,-0.03638382708047046,현금ROE,0.8660382390395136,0.021372563900064236,ROE_diff,1.1106058096092624,-0.014183944184320483,순운전자본회전율_ratio,0.14728256623606856,-0.011212184627814275
