Industry,Model,Threshold,N_Filtered,N_SHAP_Match,N_CoreFeature
M03_음식료품_제조업,LightGBM,0.04,2438,2438,7
M04_섬유_가죽_신발_제조업,LightGBM,0.18,1795,1795,8
M08_화학_의약품_고무_플라스틱_제조업,LightGBM,0.08,5216,5216,8
M10_제1차금속산업,RandomForest,0.03,1890,1890,12
M11_조립금속제품_제조업,XGBoost,0.02,2782,2782,8
M12_기타기계장비_제조업,RandomForest,0.48,4399,4399,8
M13_전자부품_컴퓨터_전기장비_제조업,RandomForest,0.26,4292,4292,3
M15_운송장비_제조업,XGBoost,0.17,2980,2980,7
M17_전기_가스_수도사업,LightGBM,0.15,1495,1495,6
M18_건설업,RandomForest,0.46,5810,5810,8
M20_숙박_음식점업,RandomForest,0.22,729,729,0
M21_운수_창고업,RandomForest,0.49,2782,2782,7
M22_정보통신업,LogisticRegression,0.05,3600,3600,9
M23_부동산_임대_사업서비스업,XGBoost,0.52,16017,16017,9
M25_오락_문화_개인서비스업,RandomForest,0.39,1077,1077,9
